sek_id,dist_id,sek_code,sek_name
1,1,S01,Kalasa
2,1,S02,Dedua
3,1,S03,Sattelberg
4,1,S04,Qembung
5,1,S05,Hube
6,1,S06,Somba
7,1,S07,Zaka
8,1,S08,Garaina
9,2,S01,Aseki
10,2,S02,Deka
11,2,S03,Buang
12,2,S04,Kaiapit
13,2,S05,Kainantiba
14,2,S06,Lae City
15,2,S07,Lae 
16,2,S08,Laulu
17,2,S09,Malalo
18,2,S10,Menyamya
19,2,S11,Sangang
20,2,S12,Wampar
21,2,S13,Wantoat
22,2,S14,Jabem
23,3,S01,Amele
24,3,S02,Bongu
25,3,S03,Biliau
26,3,S04,Begesin
27,3,S05,Kabak
28,3,S06,Ranara
29,3,S07,Madang Taun
30,3,S08,Wanuma
31,4,S01,Samoan
32,4,S02,Bumsol
33,4,S03,Kulubob
34,4,S04,Bagiai
35,4,S05,Tagub
36,4,S06,Bagabag
37,5,S01,Zone 1: Molap
38,5,S02,Zone 2: Bula
39,6,S01,Komba
40,6,S02,Kabwum
41,6,S03,Timbe
42,6,S04,Yalumet
43,6,S05,Sio-Stolz
44,6,S06,Ulap
45,6,S07,Wewebo
46,6,S08,Tapen
47,6,S09,Teptep
48,6,S10,Nankina
49,7,S01,Zone 1: Erap
50,7,S02,Zone 2: Wain
51,7,S03,Zone 3: Nabak
52,8,S01,Zone 1
53,8,S02,Zone 2
54,8,S03,Zone 3
55,8,S04,Zone 4
56,8,S05,Zone 5
57,9,S01,Kimbe
58,9,S02,Biala
59,9,S03,Rabaul
60,9,S04,Kevieng
61,12,S01,Tarabo
62,12,S02,Fayantina
63,12,S03,Rongo
64,12,S04,Asaroka
65,12,S05,Hongugo
66,12,S06,Goroka Taun
67,12,S07,Bena
68,14,S01,Simbru
69,14,S02,Kagai
70,14,S03,Membitamba
71,14,S04,Takondo
72,14,S05,Ega
73,14,S06,Mu
74,14,S07,Monono
75,14,S08,Keano
76,14,S09,Imanuel
77,14,S10,Toandong
78,14,S11,Kate/Yabem Memorial
79,14,S12,Nulanil
80,14,S13,Omkolai
81,14,S14,Kelepa
82,14,S15,Nomane
83,14,S16,Kundiawa Taun
84,14,S17,Mul
