admin_id,admin_province,admin_district,admin_llg,admin_ward,admin_village,admin_tribe,admin_clan
1,Eastern Highlands,Okapat,East Okapa Rural,15,Sinkuara,Anonkafa,Tondamu
2,Morobe,Finschafent,Yabim Mape Rural,17,Tirimala,Zaquing,Manewoke
3,,,,,,,
4,Madang,Kalcar,Karkar Rural,25,Lilio,Takia,Malelinr
5,Madang,Sumkart,Karkar Rural,20,Patilo,Takia ,Gubardan
6,,,,,,,
7,Madang,Sumkart,Karkar Rural,20,Daup,Takia,
8,Madang,Sumkart,Karkar Rural,20,Patilo,Takia,Gubardan
9,Madang,Sumkart,Karkar Rural,20,Daup,Takia,
10,Chimbu (Simbu),Chuavet,Chuave Rural,7,KASUO,GOMIA KIBI,MAIMAGU
11,Madang,Sumkart,Karkar Rural,29,Kilden,Kilden,Sabonen
12,Madang,Karkar,Karkar Rural,29,Kilden,Kilden,Sabonen
13,Chimbu (Simbu),Chuavet,Chuave Rural,7,Kasuo,Gomia kivi,Kivogu
14,Madang,Sumkart,Karkar Rural,30,Muban,Muban,salebloi
15,Madang,Usino Bundit,Usino Station ,30,Tutere,Kamasop,
16,Chimbu (Simbu),kamtai,Tabare Rural,1,ninal dumanil,bulage,gola dagma
17,Morobe,Finschafent,Kotte Rural,7,Moruruo,Kote ,Saang 
18,Chimbu (Simbu),Sina Sina-Yonggomuglt,Tabare Rural,7,sula,mile ku,mile yaun
19,Morobe,Laet,Lae Urban ,4,4 mile ,,
20,Madang,Sumkart,Karkar Rural,27,kubasob,malol,kubasob malool
21,Madang,Sumkart,Karkar Rural,23,boroman,takia,bidakan
22,Eastern Highlands,Gorokat,Ward 5 ,5,Lapeigu,Lapegu,Ezagave 
23,Madang,Sumkart,Karkar Rural,25,liloi,takia,liloi
24,Madang,Sumkart,Karkar Rural,25,liloi,takia,liloi
25,Madang,Rai Coastt,Naho Rawa Rural,14,Munabe Village ,Nahu,Mungo 
26,Eastern Highlands,Henganofit,Dunantina Rural,1,akeyampo,lihona, lanofi
27,Eastern Highlands,Henganofit,Dunantina Rural,8,kemenave,ikanofi,kenkao
28,Chimbu (Simbu),Kerowagit,Upper/Lower Koronigl Rural,5,Miunde ,Dagle ,Mugluaku 
29,Eastern Highlands,Henganofit,Dunantina Rural,8,kemenave,kanofi,kenkao
30,Eastern Highlands,Kainantut,Kamano No. 1 Rural,6,Onenifi,Ramafi ,Onenofi 
31,Eastern Highlands,Henganofit,Dunantina Rural,4,konange,tinteo,muno
32,Eastern Highlands,Henganofit,Dunantina Rural,4,konange,tinteo,muno
33,Eastern Highlands,Kainantut,Kamano No. 1 Rural,1,Bobonave ,Onompi,Janofi 
34,Morobe,Huont,Wampar Rural,19,zifasing,wampar,owang rompon
35,Western Highlands,Mul/Baiyert,Mul Rural,2,Kelngha ,Kumdi ,Kupemb 
36,Eastern Highlands,Henganofit,Dunantina Rural,4,Bafo,Kafe,Hangoa
37,Madang,Madangt,Ambenob Rural,9,Belan ,Mabonob,Wakai Alag 
38,Eastern Highlands,Henganofit,Dunantina Rural,4,BANKA,Yagafonave,yohonofi
39,Morobe,Tawae/Siassit,Siassi Rural,18,Yaga ,Tuam,Patnau 
40,Madang,Sumkart,Karkar Rural,,,,
41,Eastern Highlands,Henganofit,Kafentina Rural,6,Konamempi ,Kosegnafamo ,Kekave 
42,Madang,Sumkart,Karkar Rural,20,patilo,gugoi,fafane
43,Madang,Madangt,South Ambenob ,17,soo,soo,soo Maboh 
44,Eastern Highlands,Kainantut,Agarabi Rural,1,atara,anona,bane
45,Morobe,Finschafent,Kotte Rural,3,Merikeo,Rumingo ,Kofoc 
46,Madang,Sumkart,Karkar Rural,25,liloi,tagub,clanei
47,Eastern Highlands,Henganofit,Dunantina Rural,5,Titegave,Hegimpare,munonofi
48,Madang,Madangt,Ileg ,1,Kul ,Biguk Sinam ,Lubefadol
49,Madang,Madangt,Transgogol Rural,14,Doggia ,Doggia ,Doggia 
50,Eastern Highlands,Henganofit,Dunantina Rural,4,Banka,Bazamunte,Etuo
51,Jiwaka ,Banz ,Banz ,1,Pak ,BamBilge ,Takip Kangem
