admin_province,admin_district,admin_llg,admin_id
Western,Middle Flyt,Balimo Urban,1
Western,Middle Flyt,Bamu Rural,2
Western,Middle Flyt,Gogodala Rural,3
Western,Middle Flyt,Lake Murray Rural,4
Western,Middle Flyt,Nomad Rural,5
Western,North Flyt,Kiunga Rural,6
Western,North Flyt,Kiunga Urban,7
Western,North Flyt,Ningerum Rural,8
Western,North Flyt,Olsobip Rural,9
Western,North Flyt,Star Mountains Rural,10
Western,South Flyt,Daru Urban,11
Western,South Flyt,Kiwai Rural,12
Western,South Flyt,Morehead Rural,13
Western,South Flyt,Oriomo-Bituri Rural,14
Gulf,Keremat,Central Kerema Rural,15
Gulf,Keremat,East Kerema Rural,16
Gulf,Keremat,Kaintiba Rural,17
Gulf,Keremat,Kerema Urban,18
Gulf,Keremat,Kotidanga Rural,19
Gulf,Keremat,Lakekamu-Tauri Rural,20
Gulf,Kikorit,Baimuru Rural,21
Gulf,Kikorit,East Kikori Rural,22
Gulf,Kikorit,Ihu Rural,23
Gulf,Kikorit,West Kikori Rural,24
Central,Abaut,Amazon Bay Rural,25
Central,Abaut,Aroma Rural,26
Central,Abaut,Cloudy Bay Rural,27
Central,Goilalat,Guari Rural,28
Central,Goilalat,Tapini Rural,29
Central,Goilalat,Woitape Rural,30
Central,Kairuku-Hirit,Hiri Rural,31
Central,Kairuku-Hirit,Kairuku Rural,32
Central,Kairuku-Hirit,Koiari Rural,33
Central,Kairuku-Hirit,Mekeo Kuni Rural,34
Central,Rigot,Rigo Central Rural,35
Central,Rigot,Rigo Coastal Rural,36
Central,Rigot,Rigo Inland Rural,37
National Capital ,District National Capitalt,National Capitalt,38
Milne Bay,Alotaut,Makamaka Rural,39
Milne Bay,Alotaut,Daga Rural,40
Milne Bay,Alotaut,Weraura Rural,41
Milne Bay,Alotaut,Maramatana Rural,42
Milne Bay,Alotaut,Huhu Rural,43
Milne Bay,Alotaut,Suau Rural,44
Milne Bay,Alotaut,Alotau Urban,45
Milne Bay,Samarai-Muruat,Bwanabwana Rural,46
Milne Bay,Samarai-Muruat,Louisiade Rural,47
