cong_id,cong_dist_code,cong_dist_name,cong_saket_code,cong_saket_name,cong_par_code,cong_parish_name,cong_code,cong_name
1,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K01 ,Kip
2,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K02 ,Kukuya
3,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K03 ,Wetna
4,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K04 ,Sikekea
5,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K05 ,Kalasa
6,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K06 ,Orara
7,D01,Kate,S01 ,Kalasa,P01 ,Amugen,K07 ,Betel
8,D01,Kate,S01 ,Kalasa,P02 ,Tigasu,K01 ,Sialum
9,D01,Kate,S01 ,Kalasa,P02 ,Tigasu,K02 ,Nama
10,D01,Kate,S01 ,Kalasa,P02 ,Tigasu,K03 ,Qambu
11,D01,Kate,S01 ,Kalasa,P02 ,Tigasu,K04 ,Romonga
12,D01,Kate,S01 ,Kalasa,P02 ,Tigasu,K05 ,Station
13,D01,Kate,S01 ,Kalasa,P03 ,Kanome,K01 ,Kanome
14,D01,Kate,S01 ,Kalasa,P03 ,Kanome,K02 ,Nada
15,D01,Kate,S01 ,Kalasa,P03 ,Kanome,K03 ,Kanzarua
16,D01,Kate,S01 ,Kalasa,P03 ,Kanome,K04 ,Marimari
17,D01,Kate,S01 ,Kalasa,P04 ,Ririwo,K01 ,Ririwo
18,D01,Kate,S01 ,Kalasa,P04 ,Ririwo,K02 ,Ga
19,D01,Kate,S01 ,Kalasa,P04 ,Ririwo,K03 ,Sabe
20,D01,Kate,S01 ,Kalasa,P04 ,Ririwo,K04 ,Samep
21,D01,Kate,S01 ,Kalasa,P05 ,Gegibo,K01 ,Mineneko
22,D01,Kate,S01 ,Kalasa,P05 ,Gegibo,K02 ,Buamgo
23,D01,Kate,S01 ,Kalasa,P05 ,Gegibo,K03 ,Zakupep
24,D01,Kate,S01 ,Kalasa,P05 ,Gegibo,K04 ,Zankoa
25,D01,Kate,S01 ,Kalasa,P05 ,Gegibo,K05 ,Karako
26,D01,Kate,S01 ,Kalasa,P06 ,Gitukia,K01 ,Gitukia
27,D01,Kate,S01 ,Kalasa,P06 ,Gitukia,K02 ,Qabi
28,D01,Kate,S01 ,Kalasa,P06 ,Gitukia,K03 ,Ejango
29,D01,Kate,S01 ,Kalasa,P06 ,Gitukia,K04 ,Kinalakna
30,D01,Kate,S01 ,Kalasa,P07 ,Botara,K01 ,Gitua
31,D01,Kate,S01 ,Kalasa,P07 ,Botara,K02 ,Boru
32,D01,Kate,S01 ,Kalasa,P07 ,Botara,K03 ,Wenga
33,D01,Kate,S01 ,Kalasa,P08 ,Tibaki,K01 ,Wagum
34,D01,Kate,S01 ,Kalasa,P08 ,Tibaki,K02 ,Kolakia
35,D01,Kate,S01 ,Kalasa,P08 ,Tibaki,K03 ,Kumukio
36,D01,Kate,S01 ,Kalasa,P08 ,Tibaki,K04 ,Soleng
37,D01,Kate,S02 ,Dedua,P01 ,Yumeng,K01 ,Yunziang
38,D01,Kate,S02 ,Dedua,P01 ,Yumeng,K02 ,Yomeng
