es_id,es_district,es_circuit,es_parish,es_congregation
1,x,Ponampa,Division 2,Sinkuara
3,x,x,x,x
4,x,Tagub,x,kabong
5,x,Bogiai,Yer,St Benjamin
6,x,x,x,x
7,x,Bagiai,yenr,Doup
8,x,Bagiai,Yer,St Benjamin
9,x,Bagiai,Yenr,Doup
10,x,DUMAGOMIA,GOMIA,GOI
11,x,Tagub,Makedui,Makudui
12,x,Tagub,Makedui,Makudui
13,x,Duma Gomia ,Gomia ,Kasuo
15,x,Begesia ,Kein ,Yadus 
17,x,Malaloc ,Bunanuwe ,Siboma 
19,x,Lae City,Intum ,Intum 
22,x,x,x,x
25,x,Ranara ,Nahu 2 ,Munabe 
27,x,lehona,herave,kemanave
28,x,Trinity ,Hi-Way ,Miunde 
29,x,Lihona,herave,kemanave
30,x,Raipinka ,Bus Division ,Onenofi 
31,x,x,x,x
35,x,Calvary ,Kelngha ,kelngha 
36,x,Lihona,Yagfonve,HOBA
37,x,Amele,Nobonob,Belan 
38,x,Lihona,Yagafonave,Banka
39,x,x,Lablab,Yaga 
40,x,x,x,x
41,x,Lihona ,Kizimare,Betel
43,x,Amele,Bonub,Yagaum 
45,x,Lae City ,Benong ,Zenang
46,x,Tugub,kabong,kabong
47,x,Lihona,Yagafonave,Hegimpare
48,x,Bongu ,Siroy ,Ayegu 
49,x,Amela ,Banup,Doggia 
50,x,Lihona,Yagafonnave,Banka
51,x,Banz ,Mugang ,Efenang Memorial 
52,x,Kaiapkit,St. Josiah,Numbugu
53,x,Bagabag,x,Tubudhun 
54,x,Lihona,Yagafonave,Bazanofi
55,x,Rihona ,Jagafonave,Homya 
57,x,Lihona,Yagafonave,Hoba
58,x,x,x,x
60,x,Kagai,Mai ,Migrima 
61,x,Tagub ,Makadui,Tulgui
62,x,Baipinka,Jomuna,Raipinka
63,x,Tagub,Makadui,Makadui
64,x,Tagub ,Tagub ,Tulgui
66,x,Kabot ,Mala,Wagedav
68,x,Tagub ,x,Makudui 
69,x,Tagub,x,Kubasob
70,x,Lihona,Yagafonave,Hegimpare
71,x,Begesin ,x,Usino 
73,x,Hagen City,Bethel ,Bethel Pidgin 
74,x,Fayantina,Riwa,henaru
75,x,Tagub ,x,Kalul
77,x,Wampar ,Sampi,Gabsongkeg
80,x,Menyamya ,Sikong,Jordan
81,x,saumon,Kiti,Dorokotam
82,x,Menyamya,Kapo,Emmanuel 
83,x,Asaroka,Yaukave,Hegu
85,x,x,x,x
86,x,Tiripini,Uyagu,Yoka
87,x,Tiripini,Kaluwe,Kumopini
88,x,Imbongu,Paunda,Nagop
89,x,Nomani,Mogarama ,Kilau
91,x,Agotu,Kimi,Bilasa
94,x,Agotu,Kimi,Bilasa
95,x,Tiripini,Kauwo,Kauwo
96,x,Imbongu,Giluwe,Yombi
97,x,Omkoli,Kerry ,Dawa 
98,x,Tarabo,Keyagana,Mapega
99,x,x,St John,Pamalabus 
100,x,x,x,x
101,x,KOTE-YABEM,KAMARE,MAIMO
102,x,x,x,x
103,x,Mu,Bayose,Battle 
104,x,Alta,Pisiga,Galili
105,x,Wapi,Sumi,Marumba 
107,x,Bilau ,Mebu,Guhu
108,x,Alta,Kakul,Sanai
109,x,Kerowagi,Noguna,Noguna
110,x,BAIYER,MAPOWA,SANAP
111,x,Tiripini,Wala,Marapini
112,x,Bumsol,x,Heba
113,x,Boana,Fahintes,Nambut
114,x,x,x,x
116,x,Tiripini,Tuka,Leka
117,x,Kewade Kamane ,Kewade Kamane ,Urr
118,x,x,Gain/Kusip ,Kasin
120,x,Ialibu ,Siwi,Yamala 
121,x,x,Gune ,Yangla 
123,x,Karepa,Markclyde ,Tua 
124,x,Tapi,Jeremiah,Las Dada
126,x,Kerowagi,Zion,Gaglbuna
127,x,Kerowagi,Town,Compound
128,x,Wabi ,Kuare,Alomari 
129,x,Tiripini,Kauwo,Kauwo
130,x,Tiripini,Uyagu,Undiapu
131,x,Asaroka ,Iufi-Iufa ,Mari Mari 
133,x,Mendi ,Komia ,Komia
134,x,Amele,Bel,St. Good Shepard
135,x,Kamane,x,Urr
136,x,Mendi,Birop,Birop 
