svc_id,svc_order_id,svc_role,svc_year,svc_district,svc_circuit,svc_par_cong_inst
493,7,Evangelist,2005-2009,Immanuel,Imbongu,Papera
521,7,Evangelist,2011-2023,Jiwaka,Kuma,
361,8,Evangelist,2022-2024,Kainantu,Raipinka,Jomuna
493,8,Evangelist,2010-2024,Immanuel,Tiripini,Yungili
528,4,Evangelist,2000,,,Marimari
126,1,Evangelist,2007-2016,Hagen,Engla,Rabi Parish
128,1,Evangelist,1999-24,Immanuel,Wabi ,Kuare 
134,1,Evangelist,2016-2021,Simbu,Nulainil,Goma
141,1,Evangelist,2003-2017,Goroka,Tarabo,Keagana Parish
147,1,Evangelist,1966-2024,Immanuel,Tiripini,Wembu
148,1,Evangelist,2005-2007,Immanuel,Mendi,Agamanda Cong..
152,1,Evangelist,1986-2024,Jiwaka,Dawoo,Boda Parsh
162,1,Evangelist,1990-2022,Hagen,Ogelbeng ,Ogelbeng
171,1,Evangelist,2013,Karkar,Bumsol,
172,1,Evangelist,2012,Karkar,Bagiai,Gamog
176,1,Evangelist,2021,Karkar,Tagub,Makedui
193,1,Evangelist,1997-2000,Kainantu,Town,Pundaira
196,1,Evangelist,2013-2023,Kainantu,Lihona,Yagafonave
221,1,Evangelist,2005,Kainantu,Finintugu,Neira/Senene
224,1,Evangelist,2009-2010,Chimbu,Town,
235,1,Evangelist,1976-1981,Immanuel,Mendi,Okaya/Kana
245,1,Evangelist,1981,Kianantu,Kambaidam,Ona
252,1,Evangelist,2023,Kainantu,Lihona,St Luzape
302,1,Evangelist,1991-2024,Immanuel,Mendi,Okaya
309,1,Evangelist,2000-2013,Yabem,Menyamya,Concordia
1,2,Evangelist,1992-1997,Goroka,Ponampa,Oyana
8,2,Evangelist,2011-2016,Karkar,Bogiai,Yer
9,2,Evangelist,2002,Karkar,Begia,Kanab
10,2,Evangelist,2021 - 2023,Simbu,Duma Gomia,Goi
12,2,Evangelist,2001-2023,Karkar,Tagub,Makudui
13,2,Evangelist,1997-2023,Simbu ,Duma Goma ,Kasuo
15,2,Evangelist,2023,Madang ,Begesin ,Kein 
21,2,Evangelist,2001-2004,Karkar,Bagiai,Buroi
26,2,Evangelist,2023,Kainantu,Lihona,St. Luzape
28,2,Evangelist,1995-88,Jiwaka,Trinity ,Hi-Way 
30,2,Evangelist,2000,Kainantu ,Raipinks ,Onemofi 
32,2,Evangelist,2013-2023,Kainantu,Lihona,Yagafonave
38,2,Evangelist,2012,Kainanta,Lihona,Yagafonave
42,2,Evangelist,1999-2008,Karkar,Bagiai,Siliai
43,2,Evangelist,2007-11,Madang ,Amale ,Silopi
46,2,Evangelist,2010-2015,Karkar,Bagia,Bagiai
48,2,Evangelist,Siroy ,Madang ,Bongu,Siroy 
49,2,Evangelist,Bagasin ,Madang ,Amela ,Banup
50,2,Evangelist,1996-2011,Kainantu,Lihona,Luzape
53,2,Evangelist,2022-23,Karkar,Buinsol,Titri
55,2,Evangelist,1982,Kainantu ,Lihona ,Yagafo-Sefere
56,2,Evangelist,Bogabag,Karkar,Bogabag,Tibudhun
57,2,Evangelist,2008-2023,Kainantu,Lihona,Yagafonave
59,2,Evangelist,2020-2023,Simbu,Kewande Kamane,Yuai
60,2,Evangelist,2005-7,Simbu ,Kagai ,Guruma 
62,2,Evangelist,2012-2020,Kainantu,Raipinka,Ijorin-Konaka
63,2,Evangelist,2 yrs,Kainantu,Raipinka,Imune
64,2,Evangelist,1975-86,Karkar ,Tasub ,Congregation 
65,2,Evangelist,2023,Madang,Begesin,Garia Mopo
66,2,Evangelist,2022-23,Madang ,Kabak ,Maia Paris 
70,2,Evangelist,1990,Kainanatu,Lihona,Yagafonave
74,2,Evangelist,2009,Goroka,Fayantina,Ismael
80,2,Evangelist,2000-13,Yabem ,Menymaya,Concordia
81,2,Evangelist,2019-2020,Madang,Kabak,Mami
83,2,Evangelist,1992-2002,Goroka,Ramu Wokmisin Area,Safi Congregation
86,2,Evangelist,1988-2023,Immanuel,Tiripini,Yoga Congregation
87,2,Evangelist,2012-2023,Immanuel,Tiripini,Kumopini Cong
88,2,Evangelist,1996-2002,Shp,Imbongu,Tona Congregation
89,2,Evangelist,2004-13,Simbu,Nomani,Mogerema
90,2,Evangelist,1997-2005,Kainantu,Finingtugu,Kupare Congregation
93,2,Evangelist,2013-2015,Goroka,Asaroka,Jopawotega
101,2,Evangelist,2000-2003,East Simbu,Mu,Du Congregation
108,2,Evangelist,2013-2024,Hagen,Alta,Sanai Congregation
111,2,Evangelist,1993-2024,Immanuel,Tiripini,Marapi Congregation
113,2,Evangelist,1995-1997,Jabim,Kaintiba,Tauri Parish
115,2,Evangelist,1991-2010,Mendi ,Mendi,Pirop
116,2,Evangelist,1993-24,Immanuel,Tiripini,Leka
119,2,Evangelist,1989-2024,Immanuel,Wabi ,Koare
